circID	read	GT_AG_read	CT_AC_read	left_backratio	right_backratio	circID	annotaion	length_exon	pos_exon
chr1_53825798_53832591_-	25	25	0	1	0.301204819277108	chr1_53825798_53832591_-	gene_id "ENSG00000058804.11"; transcript_id "ENST00000371429.3"; gene_type "protein_coding"; gene_name "NDC1"	413	exon_number3;exon_number4;exon_number5
chr8_47293867_47295535_+	15	15	0	0.100671140939597	1	chr8_47293867_47295535_+	gene_id "ENSG00000164808.16"; transcript_id "ENST00000521798.1"; gene_type "protein_coding"; gene_name "SPIDR"	561	exon_number2
chr5_149198219_149217046_+	24	24	0	0.09375	0.08	chr5_149198219_149217046_+	gene_id "ENSG00000173210.19"; transcript_id "ENST00000515171.5"; gene_type "protein_coding"; gene_name "ABLIM3"	679	exon_number8;exon_number7;exon_number6;exon_number5;exon_number4;exon_number3
chr20_33573974_33574261_+	39	39	0	1	1	chr20_33573974_33574261_+	gene_id "ENSG00000078699.21"; transcript_id "ENST00000492345.5"; gene_type "protein_coding"; gene_name "CBFA2T2"	287	exon_number2
chr4_38971032_38993998_-	1	1	0	0.25	0.0099009900990099	chr4_38971032_38993998_-	gene_id "ENSG00000121895.7"; transcript_id "ENST00000381938.3"; gene_type "protein_coding"; gene_name "TMEM156"	567	exon_number3;exon_number4;exon_number5;exon_number6
chrX_118387340_118398470_+	42	42	0	0.494117647058824	0.174273858921162	chrX_118387340_118398470_+	gene_id "ENSG00000131725.13"; transcript_id "ENST00000254029.7"; gene_type "protein_coding"; gene_name "WDR44"	1157	exon_number8;exon_number7;exon_number6;exon_number5;exon_number4;exon_number3
chr10_126970702_127052815_+	11	11	0	0.291666666666667	1	chr10_126970702_127052815_+	gene_id "ENSG00000150760.12"; transcript_id "ENST00000623213.1"; gene_type "protein_coding"; gene_name "DOCK1"	2269	exon_number22;exon_number21;exon_number20;exon_number19;exon_number18;exon_number17;exon_number16;exon_number15;exon_number14;exon_number13;exon_number12;exon_number11;exon_number10;exon_number9;exon_number8;exon_number7;exon_number6;exon_number5;exon_number4;exon_number3;exon_number2
chr8_47396376_47407961_+	86	86	0	0.25	0.723636363636364	chr8_47396376_47407961_+	gene_id "ENSG00000164808.16"; transcript_id "ENST00000524141.5"; gene_type "protein_coding"; gene_name "SPIDR"	350	exon_number7;exon_number6
chr7_18666213_18666476_+	58	58	0	0.203508771929825	1	chr7_18666213_18666476_+	gene_id "ENSG00000048052.21"; transcript_id "ENST00000441542.6"; gene_type "protein_coding"; gene_name "HDAC9"	263	exon_number11
chr3_111598120_111606792_+	5	5	0	0.0684931506849315	0.0458715596330275	chr3_111598120_111606792_+	gene_id "ENSG00000153283.12"; transcript_id "ENST00000283285.9"; gene_type "protein_coding"; gene_name "CD96"	370	exon_number9;exon_number8;exon_number7
chrX_19683823_19695741_-	21	21	0	0.0457280385078219	0.0498812351543943	chrX_19683823_19695741_-	gene_id "ENSG00000147010.17"; transcript_id "ENST00000379726.7"; gene_type "protein_coding"; gene_name "SH3KBP1"	464	exon_number3;exon_number4;exon_number5;exon_number6
chr15_43021275_43025429_-	57	57	0	0.105166051660517	0.532710280373832	chr15_43021275_43025429_-	gene_id "ENSG00000159459.11"; transcript_id "ENST00000290650.8"; gene_type "protein_coding"; gene_name "UBR1"	401	exon_number24;exon_number25;exon_number26;exon_number27
chr6_106970056_106970324_+	1	0	1	1	1	NA	NA	NA	NA
chr16_23988508_24035547_+	30	30	0	0.0539568345323741	0.116129032258065	chr16_23988508_24035547_+	gene_id "ENSG00000166501.13"; transcript_id "ENST00000486868.1"; gene_type "protein_coding"; gene_name "PRKCB"	395	exon_number2;exon_number1
chr4_142173632_142193195_-	107	107	0	0.8359375	0.516908212560386	chr4_142173632_142193195_-	gene_id "ENSG00000109452.12"; transcript_id "ENST00000511838.5"; gene_type "protein_coding"; gene_name "INPP4B"	285	exon_number8;exon_number9
chr1_204116507_204124857_+	91	91	0	1	1	chr1_204116507_204124857_+	gene_id "ENSG00000143842.14"; transcript_id "ENST00000367203.8"; gene_type "protein_coding"; gene_name "SOX13"	2506	exon_number7;exon_number6;exon_number5
chr17_67886128_67918838_+	18	18	0	1	0.24	chr17_67886128_67918838_+	gene_id "ENSG00000171634.17"; transcript_id "ENST00000644067.1"; gene_type "protein_coding"; gene_name "BPTF"	3744	exon_number14;exon_number13;exon_number12;exon_number11;exon_number10;exon_number9;exon_number8;exon_number7;exon_number6
chr2_213049713_213057099_-	3	3	0	0.032258064516129	1	chr2_213049713_213057099_-	gene_id "ENSG00000030419.16"; transcript_id "ENST00000439848.5"; gene_type "protein_coding"; gene_name "IKZF2"	611	exon_number3;exon_number4;exon_number5
chr6_20265723_20280143_+	23	23	0	1	1	NA	NA	NA	NA
chr15_63532647_63563008_+	30	30	0	0.319444444444444	0.791111111111111	chr15_63532647_63563008_+	gene_id "ENSG00000259248.6"; transcript_id "ENST00000649220.1"; gene_type "antisense"; gene_name "USP3-AS1"	3843	exon_number4;exon_number5
chr5_179580947_179593645_+	38	38	0	0.05	0.231030577576444	chr5_179580947_179593645_+	gene_id "ENSG00000176783.14"; transcript_id "ENST00000393448.6"; gene_type "protein_coding"; gene_name "RUFY1"	662	exon_number12;exon_number11;exon_number10;exon_number9;exon_number8;exon_number7
chr5_66759709_66825756_+	30	30	0	1	1	chr5_66759709_66825756_+	gene_id "ENSG00000069020.18"; transcript_id "ENST00000451144.1"; gene_type "protein_coding"; gene_name "MAST4"	460	exon_number2;exon_number1
chr6_79489084_79493750_-	63	63	0	0.964539007092199	0.926470588235294	chr6_79489084_79493750_-	gene_id "ENSG00000135338.13"; transcript_id "ENST00000369846.8"; gene_type "protein_coding"; gene_name "LCA5"	507	exon_number4;exon_number5;exon_number6;exon_number7
chr13_49376967_49382941_-	18	18	0	1	0.947368421052632	chr13_49376967_49382941_-	gene_id "ENSG00000102547.18"; transcript_id "ENST00000476943.1"; gene_type "protein_coding"; gene_name "CAB39L"	434	exon_number4
chr11_121045674_121053732_+	7	7	0	0.874285714285714	0.0598290598290598	chr11_121045674_121053732_+	gene_id "ENSG00000285509.1"; transcript_id "ENST00000644541.1"; gene_type "protein_coding"; gene_name "AP000646.1"	469	exon_number4;exon_number3;exon_number2
chr14_34969170_34972094_-	6	6	0	1	1	chr14_34969170_34972094_-	gene_id "ENSG00000258704.6"; transcript_id "ENST00000636540.1"; gene_type "transcribed_unitary_pseudogene"; gene_name "SRP54-AS1"	137	exon_number2
chr16_53255600_53274302_+	103	103	0	0.299145299145299	0.907103825136612	chr16_53255600_53274302_+	gene_id "ENSG00000177200.17"; transcript_id "ENST00000219084.10"; gene_type "protein_coding"; gene_name "CHD9"	932	exon_number14;exon_number13;exon_number12;exon_number11;exon_number10;exon_number9
chr8_28980071_29018913_+	7	7	0	0.0598290598290598	1	chr8_28980071_29018913_+	gene_id "ENSG00000147421.17"; transcript_id "ENST00000518080.2"; gene_type "protein_coding"; gene_name "HMBOX1"	471	exon_number5;exon_number4;exon_number3;exon_number2
chr11_118481715_118482495_+	24	22	2	0.0967741935483871	0.705882352941177	chr11_118481715_118482495_+	gene_id "ENSG00000118058.21"; transcript_id "ENST00000389506.10"; gene_type "protein_coding"; gene_name "KMT2A"	450	exon_number8;exon_number7
chr3_169976946_169988359_+	260	260	0	0.102726195179771	0.470162748643761	chr3_169976946_169988359_+	gene_id "ENSG00000008952.16"; transcript_id "ENST00000469890.1"; gene_type "protein_coding"; gene_name "SEC62"	820	exon_number2;exon_number1
chr10_20164468_20219102_+	2	2	0	0.0217391304347826	1	chr10_20164468_20219102_+	gene_id "ENSG00000120594.16"; transcript_id "ENST00000377238.2"; gene_type "protein_coding"; gene_name "PLXDC2"	523	exon_number11;exon_number10;exon_number9;exon_number8;exon_number7;exon_number6
chr1_42265115_42278672_-	1	1	0	0.00684931506849315	0.0161290322580645	chr1_42265115_42278672_-	gene_id "ENSG00000198815.8"; transcript_id "ENST00000361776.5"; gene_type "protein_coding"; gene_name "FOXJ3"	398	exon_number3;exon_number4
chr21_15777904_15818846_+	1	1	0	0.0116279069767442	0.00166112956810631	chr21_15777904_15818846_+	gene_id "ENSG00000155313.15"; transcript_id "ENST00000464435.1"; gene_type "protein_coding"; gene_name "USP25"	843	exon_number2;exon_number1
chr12_66208236_66228370_+	21	21	0	1	0.286516853932584	chr12_66208236_66228370_+	gene_id "ENSG00000090376.10"; transcript_id "ENST00000457197.2"; gene_type "protein_coding"; gene_name "IRAK3"	565	exon_number7;exon_number6;exon_number5;exon_number4;exon_number3;exon_number2
chr3_15411245_15415942_-	136	136	0	1	1	chr3_15411245_15415942_-	gene_id "ENSG00000206562.11"; transcript_id "ENST00000383789.9"; gene_type "protein_coding"; gene_name "METTL6"	795	exon_number4;exon_number5;exon_number6
chr11_86014870_86031611_-	9	9	0	0.036	0.635922330097087	chr11_86014870_86031611_-	gene_id "ENSG00000073921.17"; transcript_id "ENST00000528411.1"; gene_type "protein_coding"; gene_name "PICALM"	433	exon_number3;exon_number4;exon_number5;exon_number6
chr12_120782655_120784593_-	125	125	0	1	0.664893617021277	chr12_120782655_120784593_-	gene_id "ENSG00000157837.15"; transcript_id "ENST00000534966.1"; gene_type "protein_coding"; gene_name "SPPL3"	390	exon_number2
chr9_33948374_33953474_-	86	86	0	0.462555066079295	0.192825112107623	chr9_33948374_33953474_-	gene_id "ENSG00000137073.21"; transcript_id "ENST00000379225.2"; gene_type "protein_coding"; gene_name "UBAP2"	592	exon_number1
chr16_75640184_75641723_-	47	31	16	0.20704845814978	0.643835616438356	chr16_75640184_75641723_-	gene_id "ENSG00000065427.14"; transcript_id "ENST00000302445.7"; gene_type "protein_coding"; gene_name "KARS"	324	exon_number2;exon_number3
chr10_93681480_93687449_-	85	85	0	0.555555555555556	0.328205128205128	chr10_93681480_93687449_-	gene_id "ENSG00000148690.11"; transcript_id "ENST00000359204.4"; gene_type "protein_coding"; gene_name "FRA10AC1"	318	exon_number8;exon_number9;exon_number10;exon_number11
chr6_144537582_144539443_+	27	27	0	0.0752089136490251	0.0499075785582255	chr6_144537582_144539443_+	gene_id "ENSG00000152818.18"; transcript_id "ENST00000367545.7"; gene_type "protein_coding"; gene_name "UTRN"	284	exon_number44;exon_number43
chr18_20979910_20992937_-	60	60	0	0.149625935162095	0.0786369593709043	chr18_20979910_20992937_-	gene_id "ENSG00000067900.7"; transcript_id "ENST00000635540.1"; gene_type "protein_coding"; gene_name "ROCK1"	763	exon_number17;exon_number18;exon_number19;exon_number20;exon_number21;exon_number22
chr3_119503532_119517315_+	51	51	0	0.184724689165187	0.310975609756098	chr3_119503532_119517315_+	gene_id "ENSG00000113845.9"; transcript_id "ENST00000494664.5"; gene_type "protein_coding"; gene_name "TIMMDC1"	343	exon_number6;exon_number5;exon_number4;exon_number3
chr1_117402186_117414831_+	7	7	0	0.879438842612889	0.00299785867237687	chr1_117402186_117414831_+	gene_id "ENSG00000198162.12"; transcript_id "ENST00000356554.7"; gene_type "protein_coding"; gene_name "MAN1A2"	469	exon_number4;exon_number3;exon_number2
chr14_70205177_70227704_+	23	23	0	1	1	chr14_70205177_70227704_+	gene_id "ENSG00000258422.5"; transcript_id "ENST00000555198.1"; gene_type "antisense"; gene_name "AL160191.1"	394	exon_number3;exon_number2;exon_number1
chr3_47435008_47443091_-	2	2	0	0.4	1	chr3_47435008_47443091_-	gene_id "ENSG00000114650.19"; transcript_id "ENST00000441517.6"; gene_type "protein_coding"; gene_name "SCAP"	348	exon_number2;exon_number3
chr7_77749424_77750064_+	24	24	0	0.222222222222222	0.0892193308550186	chr7_77749424_77750064_+	gene_id "ENSG00000187257.15"; transcript_id "ENST00000445288.5"; gene_type "protein_coding"; gene_name "RSBN1L"	640	exon_number3
chr16_18841565_18850467_-	1	1	0	0.561224489795918	0.0144927536231884	chr16_18841565_18850467_-	gene_id "ENSG00000157106.16"; transcript_id "ENST00000446231.6"; gene_type "protein_coding"; gene_name "SMG1"	1636	exon_number34;exon_number35;exon_number36;exon_number37;exon_number38;exon_number39;exon_number40;exon_number41
chr20_62854016_62857638_-	39	39	0	0.506493506493506	0.378640776699029	chr20_62854016_62857638_-	gene_id "ENSG00000101190.12"; transcript_id "ENST00000217162.5"; gene_type "protein_coding"; gene_name "TCFL5"	384	exon_number4;exon_number5
chr16_47497399_47547548_+	27	27	0	0.536082474226804	0.243243243243243	chr16_47497399_47547548_+	gene_id "ENSG00000102893.15"; transcript_id "ENST00000567402.5"; gene_type "protein_coding"; gene_name "PHKB"	628	exon_number7;exon_number6;exon_number5;exon_number4;exon_number3;exon_number2
chr5_148509456_148637061_-	1	1	0	1	1	chr5_148509456_148637061_-	gene_id "ENSG00000164270.17"; transcript_id "ENST00000520086.1"; gene_type "protein_coding"; gene_name "HTR4"	2029	exon_number3;exon_number4
chr18_20991176_21020239_-	15	15	0	0.0412087912087912	0.0211267605633803	chr18_20991176_21020239_-	gene_id "ENSG00000067900.7"; transcript_id "ENST00000635540.1"; gene_type "protein_coding"; gene_name "ROCK1"	864	exon_number12;exon_number13;exon_number14;exon_number15;exon_number16;exon_number17;exon_number18
chr3_67559501_67637839_-	31	31	0	1	1	chr3_67559501_67637839_-	gene_id "ENSG00000172340.14"; transcript_id "ENST00000307227.9"; gene_type "protein_coding"; gene_name "SUCLG2"	141	exon_number2
chr5_151198997_151205475_-	2	2	0	0.00557103064066852	0.0027972027972028	chr5_151198997_151205475_-	gene_id "ENSG00000198624.12"; transcript_id "ENST00000355417.6"; gene_type "protein_coding"; gene_name "CCDC69"	268	exon_number2;exon_number3;exon_number4
chr9_122877471_122883379_-	2	2	0	0.1	0.0127388535031847	chr9_122877471_122883379_-	gene_id "ENSG00000056586.15"; transcript_id "ENST00000357244.6"; gene_type "protein_coding"; gene_name "RC3H2"	737	exon_number5;exon_number6;exon_number7;exon_number8;exon_number9
chr17_20204333_20238825_+	11	11	0	0.71244635193133	1	chr17_20204333_20238825_+	gene_id "ENSG00000128487.16"; transcript_id "ENST00000395522.6"; gene_type "protein_coding"; gene_name "SPECC1"	2823	exon_number6;exon_number5;exon_number4;exon_number3;exon_number2
chr2_48328561_48346751_+	78	78	0	0.386138613861386	0.804123711340206	chr2_48328561_48346751_+	gene_id "ENSG00000170802.15"; transcript_id "ENST00000340553.7"; gene_type "protein_coding"; gene_name "FOXN2"	691	exon_number3;exon_number2
chr7_94618758_94644667_-	7	7	0	0.7	1	chr7_94618758_94644667_-	gene_id "ENSG00000127990.17"; transcript_id "ENST00000642754.1"; gene_type "protein_coding"; gene_name "SGCE"	5354	exon_number2;exon_number3;exon_number4
chr8_60584208_60591969_+	36	36	0	0.038961038961039	0.6875	chr8_60584208_60591969_+	gene_id "ENSG00000104388.14"; transcript_id "ENST00000530071.5"; gene_type "protein_coding"; gene_name "RAB2A"	285	exon_number4;exon_number3;exon_number2
chr1_23030469_23050520_+	117	117	0	0.443181818181818	0.761290322580645	chr1_23030469_23050520_+	gene_id "ENSG00000004487.16"; transcript_id "ENST00000400181.8"; gene_type "protein_coding"; gene_name "KDM1A"	357	exon_number4;exon_number3;exon_number2
chr17_56814869_56825215_-	9	9	0	1	1	chr17_56814869_56825215_-	gene_id "ENSG00000214226.8"; transcript_id "ENST00000397861.6"; gene_type "protein_coding"; gene_name "C17orf67"	468	exon_number4;exon_number5;exon_number6
chr3_183833492_183868024_-	94	94	0	0.671428571428571	1	chr3_183833492_183868024_-	gene_id "ENSG00000175193.13"; transcript_id "ENST00000639900.1"; gene_type "protein_coding"; gene_name "PARL"	875	exon_number3;exon_number4;exon_number5;exon_number6;exon_number7;exon_number8;exon_number9;exon_number10
chr15_64499293_64500166_+	74	74	0	1	1	NA	NA	NA	NA
chr17_5410703_5416682_-	79	79	0	0.637096774193548	0.68695652173913	chr17_5410703_5416682_-	gene_id "ENSG00000108559.11"; transcript_id "ENST00000572809.1"; gene_type "protein_coding"; gene_name "NUP88"	380	exon_number2;exon_number3;exon_number4
chr15_60355919_60364523_-	1	1	0	0.000578703703703704	0.000693962526023595	chr15_60355919_60364523_-	gene_id "ENSG00000182718.16"; transcript_id "ENST00000557937.5"; gene_type "protein_coding"; gene_name "ANXA2"	489	exon_number4;exon_number5
